stage,config,models,year,games,accuracy,log_loss,brier,auc,avg_confidence
confirm_blend_trees,current_15g_3sp_15bp__sp_bullpen,xgboost+lightgbm+catboost,2026,680,0.5588235294117647,0.6842799177421124,0.24571806475762276,0.5502210688196848,0.5560611736700061
confirm_blend_trees,short_7g_3sp_7bp__all_re24,xgboost+lightgbm+catboost,2024,2485,0.5505030181086519,0.6811140414833625,0.24440810494677806,0.5805515112349928,0.5719629570853163
confirm_blend_trees,short_7g_3sp_7bp__all_re24,xgboost+lightgbm+catboost,2025,2430,0.5576131687242798,0.6797093211871378,0.24364063855998788,0.5748258677270306,0.564354354958624
confirm_blend_trees,short_7g_3sp_7bp__all_re24,xgboost+lightgbm+catboost,2026,680,0.5514705882352942,0.6850268611027808,0.24613199500990124,0.5440695886197616,0.5571277865000578
confirm_blend_trees,long_30g_5sp_15bp__offense_sp,xgboost+lightgbm+catboost,2024,2485,0.5517102615694165,0.6804405955009977,0.24412000601229136,0.5810027665747934,0.5718592614803034
confirm_blend_trees,long_30g_5sp_15bp__offense_sp,xgboost+lightgbm+catboost,2025,2430,0.5477366255144033,0.6806433061467847,0.2441116318229681,0.5705154670129636,0.5652711960322291
confirm_blend_trees,long_30g_5sp_15bp__offense_sp,xgboost+lightgbm+catboost,2026,680,0.5617647058823529,0.6854193284018057,0.24627313877152265,0.5460487225193108,0.5552968862397273
confirm_blend_trees,current_15g_3sp_15bp__bullpen_only,xgboost+lightgbm+catboost,2024,2485,0.558953722334004,0.681058119445999,0.2443651596958354,0.5800438084263744,0.5713561625864181
confirm_blend_trees,current_15g_3sp_15bp__bullpen_only,xgboost+lightgbm+catboost,2025,2430,0.5534979423868313,0.6805481979711789,0.24404326476428206,0.5721962264459957,0.5647230127329509
confirm_blend_trees,current_15g_3sp_15bp__bullpen_only,xgboost+lightgbm+catboost,2026,680,0.5514705882352942,0.6845101094839366,0.24582661052713767,0.550627381077208,0.5573314592105008
