date,year,home_team,away_team,home_score,away_score,home_win,home_ml,away_ml
2026-04-21,2026,SEA,ATH,2,5,0,-171.0,143.0
2026-04-21,2026,SFG,LAD,3,1,1,148.0,-178.0
2026-04-21,2026,TBR,CIN,6,12,0,-108.0,-111.0
2026-04-21,2026,TEX,PIT,5,1,1,-116.0,-103.0
2026-04-21,2026,WSN,ATL,11,4,1,127.0,-152.0
2026-04-22,2026,ARI,CHW,11,7,1,-154.0,128.0
2026-04-22,2026,BOS,NYY,1,4,0,116.0,-138.0
2026-04-22,2026,CHC,PHI,7,2,1,-185.0,155.0
2026-04-22,2026,COL,SDP,8,3,1,137.0,-164.0
2026-04-22,2026,DET,MIL,5,2,1,-134.0,113.0
2026-04-22,2026,KCR,BAL,6,8,0,-127.0,108.0
2026-04-22,2026,LAA,TOR,7,3,1,-151.0,126.0
2026-04-22,2026,MIA,STL,4,1,1,-143.0,119.0
2026-04-22,2026,NYM,MIN,3,2,1,-161.0,135.0
2026-04-22,2026,SEA,ATH,5,4,1,-198.0,163.0
2026-04-22,2026,TBR,CIN,6,1,1,-136.0,115.0
2026-04-22,2026,TEX,PIT,4,8,0,-104.0,-115.0
2026-04-22,2026,WSN,ATL,6,8,0,131.0,-156.0
2026-04-23,2026,ARI,CHW,1,4,0,-146.0,123.0
2026-04-23,2026,BOS,NYY,2,4,0,129.0,-156.0
2026-04-23,2026,CHC,PHI,8,7,1,-35.0,-118.0
2026-04-23,2026,COL,SDP,8,10,0,130.0,-156.0
2026-04-23,2026,DET,MIL,5,4,1,-231.0,188.0
2026-04-23,2026,NYM,MIN,10,8,1,-117.0,-104.0
2026-04-23,2026,TEX,PIT,6,1,1,-158.0,131.0
2026-04-23,2026,WSN,ATL,2,7,0,115.0,-136.0
2026-04-24,2026,ATL,PHI,5,3,1,-150.0,59.0
2026-04-24,2026,BAL,BOS,10,3,1,-124.0,36.0
2026-04-24,2026,CHW,WSN,5,4,1,-128.0,107.0
2026-04-24,2026,CIN,DET,9,8,1,-32.0,-122.0
2026-04-24,2026,HOU,NYY,4,12,0,128.0,-153.0
2026-04-24,2026,KCR,LAA,6,3,1,-116.0,-37.0
2026-04-24,2026,LAD,CHC,4,6,0,-160.0,134.0
2026-04-24,2026,NYM,COL,3,4,0,-208.0,171.0
2026-04-24,2026,SFG,MIA,4,9,0,-105.0,-115.0
2026-04-24,2026,STL,SEA,2,3,0,126.0,-151.0
2026-04-24,2026,TBR,MIN,6,2,1,-133.0,45.0
2026-04-24,2026,TEX,ATH,1,8,0,-145.0,121.0
2026-04-24,2026,TOR,CLE,6,8,0,33.0,-120.0
2026-04-25,2026,ARI,SDP,4,6,0,-112.0,-108.0
