date,team,il_war_score
2020-10-01,HOU,6.24
2021-04-01,HOU,2.3
2021-05-01,HOU,2.31
2021-06-01,HOU,1.91
2021-07-01,HOU,3.08
2021-08-01,HOU,3.38
2021-09-01,HOU,1.9
2021-10-01,HOU,1.37
2022-04-01,HOU,0.0
2022-05-01,HOU,10.76
2022-06-01,HOU,5.0
2022-07-01,HOU,7.35
2022-08-01,HOU,6.75
2022-09-01,HOU,7.1
2022-10-01,HOU,3.15
2023-04-01,HOU,7.93
2023-05-01,HOU,10.74
2023-06-01,HOU,5.32
2023-07-01,HOU,12.16
2023-08-01,HOU,5.32
2023-09-01,HOU,2.94
2023-10-01,HOU,2.94
2024-04-01,HOU,7.46
2024-05-01,HOU,13.91
2024-06-01,HOU,10.48
2024-07-01,HOU,20.21
2024-08-01,HOU,19.53
2024-09-01,HOU,17.61
2024-10-01,HOU,11.77
2025-04-01,HOU,7.62
2025-05-01,HOU,7.49
2025-06-01,HOU,16.24
2025-07-01,HOU,21.36
2025-08-01,HOU,22.19
2025-09-01,HOU,18.24
2025-10-01,HOU,12.88
2026-04-01,HOU,8.54
2026-05-01,HOU,22.4
2015-04-01,KCR,0.0
2015-05-01,KCR,3.02
2015-06-01,KCR,3.94
2015-07-01,KCR,5.97
2015-08-01,KCR,8.6
2015-09-01,KCR,2.55
2015-10-01,KCR,2.55
2016-04-01,KCR,3.07
2016-05-01,KCR,1.04
2016-06-01,KCR,7.84
2016-07-01,KCR,15.73
2016-08-01,KCR,9.16
2016-09-01,KCR,9.16
2016-10-01,KCR,5.17
2017-04-01,KCR,1.36
2017-05-01,KCR,1.33
2017-06-01,KCR,7.56
2017-07-01,KCR,7.22
2017-08-01,KCR,2.06
2017-09-01,KCR,5.68
2017-10-01,KCR,1.12
2018-04-01,KCR,2.73
2018-05-01,KCR,0.49
2018-06-01,KCR,1.08
2018-07-01,KCR,-1.05
2018-08-01,KCR,-0.24
2018-09-01,KCR,-0.74
2018-10-01,KCR,-0.9
2019-04-01,KCR,4.08
2019-05-01,KCR,3.29
2019-06-01,KCR,0.45
2019-07-01,KCR,4.09
2019-08-01,KCR,4.06
2019-09-01,KCR,1.85
2019-10-01,KCR,1.98
2020-04-01,KCR,0.0
2020-05-01,KCR,0.0
2020-06-01,KCR,0.0
2020-07-01,KCR,0.0
2020-08-01,KCR,7.06
2020-09-01,KCR,4.63
2020-10-01,KCR,-1.03
2021-04-01,KCR,1.25
2021-05-01,KCR,2.89
2021-06-01,KCR,1.38
2021-07-01,KCR,1.0
2021-08-01,KCR,2.29
2021-09-01,KCR,2.34
2021-10-01,KCR,2.15
2022-04-01,KCR,-0.33
2022-05-01,KCR,0.92
2022-06-01,KCR,5.31
2022-07-01,KCR,8.4
2022-08-01,KCR,1.03
2022-09-01,KCR,3.69
